tax_id,中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,域,域-latin,界,界-latin,門,門-latin,亞門,亞門-latin,綱,綱-latin,亞綱,亞綱-latin,目,目-latin,科,科-latin,亞科,亞科-latin,屬,屬-latin,種,種-latin,亞種,亞種-latin
1678,雙歧桿菌,,,,,,,,細菌域,Bacteria,,,放線菌門,Actinobacteria,,,放線菌綱,Actinobacteria,,,雙歧桿菌目,Bifidobacteriales,雙歧桿菌科,Bifidobacteriaceae,,,雙歧桿菌屬,Bifidobacterium,,,,
302911,乳雙歧桿菌,,,,,,,,細菌域,Bacteria,,,放線菌門,Actinobacteria,,,放線菌綱,Actinobacteria,,,雙歧桿菌目,Bifidobacteriales,雙歧桿菌科,Bifidobacteriaceae,,,雙歧桿菌屬,Bifidobacterium,動物雙歧桿菌,Bifidobacterium animalis,,
1306274,髮菜,,,,,,,,細菌域,Bacteria,,,藍藻門,Cyanobacteria,,,,,,,,,,,,,,,,,,
35823,螺旋藻,,,,,,,,細菌域,Bacteria,,,藍藻門,Cyanobacteria,,,,,,,,,,,,,,,,,,
86029,納豆芽孢桿菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,芽孢桿菌綱,Bacillales,芽孢桿菌科,Bacillaceae,,,芽孢桿菌屬,Bacillus,枯草芽孢桿菌,Bacillus subtilis,納豆芽孢桿菌,Bacillus subtilis natto
1579,嗜酸乳桿菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,,,,,,,,,,,,
1582,乾酪乳桿菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,,,,,,,,,,,,
1584,保加利亞乳桿菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,,,,,,,,,,,,
1308,嗜熱鏈球菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,,,,,,,,,,,,
1358,乳酸乳球菌,,,,,,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,,,芽孢桿菌綱,Bacilli,,,,,,,,,,,,,,
28448,木葡糖酸醋桿菌,,,,,,,,細菌域,Bacteria,,,變形菌門,Proteobacteria,,,α-變形菌綱,Alphaproteobacteria,,,,,,,,,,,,,,
63752,肺衣,,,,,,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,茶漬綱,Lecanoromycetes,茶漬亞綱,Lecanoromycetidae,地捲目,Peltigerales,肺衣科,Lobariaceae,,,肺衣屬,Lobaria,,,,
5193,羊肚菌,,,,,,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,盤菌綱,Pezizomycetes,,,,,羊肚菌科,Morchellaceae,,,羊肚菌屬,Morchella,,,,
39416,黑松露,,,,,,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,盤菌綱,Pezizomycetes,,,盤菌目,Pezizales,塊菌科,Tuberaceae,,,塊菌屬,Tuber,黑松露,Tuber melanosporum,,
